?cls	?xref
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:24922054"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:17670787"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:27542689"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:26711341"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:27068018"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:22427692"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:24063805"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:27013241"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:23318635"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:30399335"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:19174194"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:21295481"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:27612382"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:27150006"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:25956527"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:30471994"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:26017970"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:20967238"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:16344473"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:28807897"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:28976975"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:29291981"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:23318641"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:16890156"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:22411224"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:27612384"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:19933103"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:17251262"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:27063937"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:18287199"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:21806978"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:24737865"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"UBERON:0001017"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:28126842"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:28461239"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:23297191"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:25772472"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:26459857"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:17942485"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:26884331"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:22252539"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:29273738"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:27074666"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:24704339"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:18063757"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:30729158"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:22125640"
<http://purl.obolibrary.org/obo/PLANA_0002053>	"NCIT:C94478"
<http://purl.obolibrary.org/obo/PLANA_0000074>	"PMID:28072387"
<http://purl.obolibrary.org/obo/PLANA_0000074>	"PMID:27163480"
